Date,Daily close,Max pos gamma @9:35,,M8 time,Pin strike,M8BF,BOBF,Sigma3,Important days,BF win rate ,,GXBF,Straddle,Max profit straddle,Closing call side str,,Vix open,VIX diff,"$	54,140","$	100,370","$	54,880","$	43,610","$	253,000",,,,1pm BF
,,,,,,,,0,,,"$	253,000",,,,,0,,,,,,,,,,,
,,,,,,,,0,,,"$	253,000",,,,,0,,,,,,,,,,,
,,,,,,,,0,,,"$	253,000",,,,,0,,,,,,,,,,,
04/03/2026,,,,,,,,0,,,"$	253,000",,,,,0,,,,,,,,,,,
04/02/2026,,,,,,,,0,,,"$	253,000",,,,,0,,,,,,,,,,,
04/01/2026,,,,,,,,0,NM,,"$	253,000",,,,,0,,,,,,,,,,,
03/31/2026,,,,,,,,0,EOM,,"$	253,000",,,,,0,,,,,,,,,,,
03/30/2026,,,,,,,,0,EOM-1,,"$	253,000",,,,,0,,,,,,,,,,,
03/27/2026,,,,,,,,0,EOM-2,,"$	253,000",,,,,0,,,,,,,,,,,
03/26/2026,,,,,,,,0,,,"$	253,000",,,,,0,,,,,,,,,,,
03/25/2026,,,,,,,,0,,,"$	253,000",,,,,0,,,,,,,,,,,
03/24/2026,,,,,,,,0,,,"$	253,000",,,,,0,,,,,,,,,,,
03/23/2026,,,,,,,,0,OPEX+1,,"$	253,000",,,,,0,,,,,,,,,,,
03/20/2026,,,,,,,,0,OPEX,,"$	253,000",,,,,0,,,,,,,,,,,
03/19/2026,,,,,,,,0,OPEX-1,,"$	253,000",,,,,0,,,,,,,,,,,
03/18/2026,,,,,,,,0,"FED, VIX EXP",,"$	253,000",,,,,22.36,,,,,,,,,,,
03/17/2026,6716,6770,,,,,-960,-2160,,63%,"$	253,000",-1200,,,,2.7,22.36,Down,,,,,,,,,
03/16/2026,6699,,,,,,,0,,100%,"$	255,160",,,,,0.43,25.06,Down,,,,,,,,,
03/13/2026,6632,,,,,970,,970,,58%,"$	255,160",,,,,0.77,25.49,Down,Started optional m8bf ,,,,,,,,
03/12/2026,6673,,,11:30,6650,1620,,1620,,77%,"$	254,190",,,,,-1.78,26.26,Up,,,,,,,,,
03/11/2026,6776,,,,,,,-1300,CPI,70%,"$	252,570",,-1300,,,-0.23,24.48,Down,,,,,,,,,
03/10/2026,6781,,,,,,-880,-820,,5%,"$	253,870",60,,,,6.12,24.25,Down,,,,,,,,,
03/09/2026,6796,,,10:10,6650,-1500,,-1500,,5%,"$	254,690",,,,,-2.79,30.37,Up,Trump news(war over soon),,,,,,,,
03/06/2026,6740,,,13:05,6755,800,,800,,51%,"$	256,190",,,,,-5.32,27.58,Up,,,,,,,,,
03/05/2026,6831,,,,,,,0,,44%,"$	255,390",,,,,0.05,22.26,Up,,,,,,,,,
03/04/2026,6869,6910,,,,,-1010,-410,,25%,"$	255,390",600,,,,2.68,22.31,Down,,,,,,,,,
03/03/2026,6817,,,10:40,6700,-1360,,-1360,,72%,"$	255,800",,,,,-1.78,24.99,Up,,,,,,,,,
03/02/2026,6882,,,10:00,6855,-50,,-50,NM,74%,"$	257,160",,,,,-1.92,23.21,Up,,,,,,,,,
02/27/2026,6880,,,,,,,-1120,EOM,46%,"$	257,210",,-1120,,,-3.34,21.29,Up,,,,,,,,,
02/26/2026,6909,,,,,,,0,EOM-1,79%,"$	258,330",,,,,0.79,17.95,Up,Bad strike kept coming,,,,,,,,
02/25/2026,6946,,,,,,,1170,"EOM-2, NVDA",77%,"$	258,330",1170,,,,2.8,18.74,Down,,,,,,,,,
02/24/2026,6890,,,10:50,6955,-870,520,-350,,67%,"$	257,160",,,,,-1.89,21.54,Up,,,,,,,,,
02/23/2026,6838,,,,,,,-1300,OPEX+1,77%,"$	257,510",-1300,,,,1.56,19.65,Up,,,,,,,,,
02/20/2026,6910,,,10:20,6890,520,,520,OPEX,87%,"$	258,810",,,,,-0.76,21.21,Up,,,,,,,,,
02/19/2026,6862,,,,,,,0,OPEX-1,96%,"$	258,290",,,,,-0.41,20.45,Up,,,,,,,,,
02/18/2026,6881,,,13:30,6890,520,,520,VIX EXP,67%,"$	258,290",,,,,1.56,20.04,Down,,,,,,,,,
02/17/2026,6843,,,10:50,6775,-1000,,-1000,,61%,"$	257,770",,,,,-0.68,21.60,Up,,,,,,,,,
02/13/2026,6836,,,,,,,0,CPI,53%,"$	258,770",,,,,-3.57,20.92,Up,,,,,,,,,
02/12/2026,6833,,,,,,,9600,,38%,"$	258,770",,9600,10700,,-0.59,17.35,Down,,,,,,,,,
02/11/2026,6941,,,,,,,-1300,,78%,"$	249,170",-1300,,,,0.55,16.76,Down,,,,,,,,,
02/10/2026,6942,,,10:50,6995,-1360,,-1360,,6%,"$	250,470",,560*0,,,1.51,17.31,Down,,,,,,,,,
02/09/2026,6965,,,11:10,6980,110,1980,2090,,57%,"$	251,830",,,,,1.35,18.82,Up,,,,,,,,,
02/06/2026,6932,,,,,,-350,-380,,3%,"$	249,740",-30,,,,1.6,20.17,Down,,,,,,,,,
02/05/2026,6798,,,13:40,6800,2300,,2300,AMZN,57%,"$	250,120",,,,,-3.72,21.77,Up,,,,Sigma3 P/L,,,,,
02/04/2026,6883,,,,,,,0,GOOGL,81%,"$	247,820",,,,,-1.86,18.05,Up,,,Monday,,,,,,
02/03/2026,6918,,,10:40,6945,-660,,-660,,31%,"$	247,820",,4240*0,,,1.87,16.19,Down,,,Tuesday,"$	(2,160)",,,,,
02/02/2026,6976,,,9:55,6955,-50,,-50,NM,50%,"$	248,480",,,,,-0.61,18.06,Up,,,Wednesday,,,,,,
01/30/2026,6939,,6939,,,,,-2900,EOM,75%,"$	248,530",,-2900,,,-0.46,17.45,Up,,,Thursday,,,,,,
01/29/2026,6969,,6969,,,,,0,"EOM-1, AAPL",3%,"$	251,430",,,,,-0.62,16.99,Up,,,Friday,,,,,,
01/28/2026,6978,,6978,,,,,0,"EOM-2, FED, MSFT, META",79%,"$	251,430",,,,,-0.24,16.37,Up,,,Total,"$	(2,160)",,,,,
01/27/2026,6979,,6979,10:50,6985,350,-610,-260,,54%,"$	251,430",,,,,0.29,16.13,Down,,,,,,,,,
01/26/2026,6950,,6950,9:35,6930,170,-460,-290,,93%,"$	251,690",,,,,-0.5,16.42,Up,,,,,,,,,
01/23/2026,6916,,6916,,,-1350,,-1350,,83%,"$	251,980",,,,,0,15.92,Up,,,,,,,,,
01/22/2026,6913,,6913,,,,-910,-2170,,61%,"$	253,330",-1260,,,,3.06,15.92,Down,,,,,,,,,
01/21/2026,6876,,6876,,,,,3730,VIX EXP,29%,"$	255,500",3730,,,,0.68,18.98,Down,,,,,,,,,
01/20/2026,6797,6900,103,,,,,-1300,OPEX+1,55%,"$	251,770",-1300,,,,-4.21,19.66,Up,,,,,,,,,-1180
01/16/2026,6940,,6940,,,,,0,OPEX,67%,"$	253,070",,,,,0.31,15.45,Down,,,,,,,,,
01/15/2026,6944,,6944,,,,,-1120,OPEX-1,15%,"$	253,070",-1120,,,,1.52,15.76,Down,,,,,,,,,
01/14/2026,6929,,6929,13:30,6895,-1190,,-1190,,28%,"$	254,190",,,,,-2.3,17.28,Up,,,,,,,,,-1040
01/13/2026,6964,,6964,,,,,-1300,CPI,62%,"$	255,380",,-1300,,,0.81,14.98,Down,,,,,,,,,
01/12/2026,6977,,6977,11:10,6975,890,1200,2090,-6210,83%,"$	256,680",,,,,-0.41,15.79,Up,,,,,,,,,
01/09/2026,6966,,6966,12:00,6955,340,,340,,81%,"$	254,590",,,,,0.3,15.38,Down,,,,,,,,,
01/08/2026,6921,,6921,13:40,6920,970,,970,,93%,"$	254,250",,,,,-0.7,15.68,Up,,,,,,,,,
01/07/2026,6921,,6921,13:30,6945,-970,-810,-1780,,4%,"$	253,280",,,,,-0.05,14.98,Up,,,,,,,,,
01/06/2026,6944,,6944,11:10,6910,-1120,940,-180,,50%,"$	255,060",,,,,0,14.93,Up,,,,,,,,,
01/05/2026,6902,,6902,11:10,6910,410,,410,,97%,"$	255,240",,,,,-0.22,14.93,Up,,,,,,,,,
01/02/2026,6858,,6858,,,,,-260,NM,84%,"$	254,830",,-260,3000,,-0.18,14.71,Down,,,,,,,,,
12/31/2025,6845,,6845,,,,,2900,EOM,33%,"$	255,090",,2900,2900,,-0.13,14.53,Up,,,,,,,,,
12/30/2025,6896,,6896,10:50,6910,-130,,-130,EOM-1,58%,"$	252,190",,,,,0.44,14.40,Up,,,,,,,,,
12/29/2025,6906,,6906,11:10,6910,850,,850,EOM-2,70%,"$	252,320",,,,,-0.65,14.84,Up,,,,,,,,,
12/26/2025,6930,,6930,,,,,0,,83%,"$	251,470",,,,,-0.25,14.19,Up,,,,,,,,,
12/24/2025,6932,,6932,,,,1070,1070,Short day,71%,"$	251,470",,,,,0.22,13.94,Down,,,,,,,,,
12/23/2025,6910,,6910,10:50,6910,1720,1980,3700,,58%,"$	250,400",,,,,0.7,14.16,Up,,,,,,,,,
12/22/2025,6878,6880,2,,,,-400*0,1680,OPEX+1,41%,"$	246,700",1680,-1070*0,1,,1.15,14.86,Down,,,,,,,,,
12/19/2025,6835,6850,15,,,,1740,2890,OPEX,85%,"$	245,020",1150,,,,0.45,16.01,Down,,,,,,,,,
12/18/2025,6775,,6775,,,,,-1300,"CPI, OPEX-1",16%,"$	242,130",,-1300,1,,-0.28,16.46,Down,,,,,,,,,
12/17/2025,6721,,6721,13:30,6745,-670,,-670,VIX EXP,7%,"$	243,430",,5200*0,,,0.63,16.18,Down,,,,,,,,,
12/16/2025,6800,,6800,10:50,6785,800,,800,,61%,"$	244,100",,,,,-0.72,16.81,Up,,,,,,,,,-1220
12/15/2025,6817,,6817,11:10,6810,1540,,1540,,82%,"$	243,300",,,,,-1,16.09,Up,,,,,,,,,
12/12/2025,6827,,6827,1055,,-510,,-510,,40%,"$	241,760",,,,,1.01,15.09,Up,,,,,,,,,
12/11/2025,6901,,6901,13:40,6890,10,1860,1870,,53%,"$	242,270",,,,,1.36,16.1,Up,,,,,,,,,-320
12/10/2025,6887,,6887,,,,,0,FED,16%,"$	240,400",,,,,-0.37,17.46,Up,,,,,,,,,-80
12/09/2025,6840,,6840,13:30,6850,-690,-1040,-1730,,71%,"$	240,400",,,,,-0.71,17.09,Up,,,,,,,,,-470
12/08/2025,6846,6900,54,9:35,6880,-1210,,-1210,,93%,"$	242,130",,,,,-0.63,16.38,Up,,,,,,,,,
12/05/2025,6870,6900,30,12:00,6875,1180,,1180,,84%,"$	243,340",,,,,0.28,15.75,Down,,,,,,,,,
12/04/2025,6857,6885,28,,,,,-1830,,93%,"$	242,160",,-1830,900,420,0.96,16.03,Down,,,,,,,,,
12/03/2025,6850,6850,0,13:30,6845,760,1460,2220,,89%,"$	243,990",,,,,-0.21,16.99,Up,,,,,,,,,1160
12/02/2025,6829,6850,21,10:50,6845,180,-1090,-910,,71%,"$	241,770",,,,,1.14,16.78,Down,,,,,,,,,
12/01/2025,6813,6850,37,9:35,6805,1660,,1660,NM,100%,"$	242,680",,,,,0.6,17.92,Up,,,,,,,,,
11/28/2025,6849,6835,14,,,,1200,1200,EOM,95%,"$	241,020",,,,,-0.66,18.52,Up,"Market glitch, short day",,,,,,,,
11/26/2025,6813,6815,2,,,,,1600,EOM-1,31%,"$	239,820",1600,,,,2.43,17.86,Down,,,,,,,,,
11/25/2025,6766,6750,16,13:20,6745,-860,,-860,EOM-2,16%,"$	238,220",,,,,2.16,20.29,Down,,,,,,,,,
11/24/2025,6705,6700,5,,,,1120,3310,OPEX+1,100%,"$	239,080",2190,,,,2.76,22.45,Down,,,,,,,,,
11/21/2025,6603,6630,27,,,,,1850,OPEX,36%,"$	235,770",1850,,,,-5.71,25.21,Down,,,,,,,,,
11/20/2025,6539,6785,246,,6555,1720,,1720,OPEX-1,35%,"$	233,920",,,,,4.45,19.50,Down,Gap,,,,,,,,
11/19/2025,6642,6690,48,,,,,-1080,"VIX EXP, NVDA",81%,"$	232,200",-1080,,,,-0.21,23.95,Down,,,,,,,,,
11/18/2025,6617,6700,83,,6600,1630,,1630,,42%,"$	233,280",,,,,-2.53,23.74,Up,,,,,,,,,-1090
11/17/2025,6672,6780,108,,6725,-1020,,-1020,,15%,"$	231,650",,,,,1.22,21.21,Up,,,,,,,,,
11/14/2025,6734,6715,19,,6750,1040,,1040,,55%,"$	232,670",,,,,-4.24,22.43,Up,Gap,,,,,,,,-670
11/13/2025,6737,6870,133,,6805,-1190,,-1190,,28%,"$	231,630",,,,,-0.9,18.19,Up,,,,,,,,,-80
11/12/2025,6850,6870,20,,6845,1060,,1060,,100%,"$	232,820",,,,,0.35,17.29,Up,,,,,,,,,1210
11/11/2025,6847,6860,13,,6805,-1190,,-1190,,51%,"$	231,760",,,,,0.54,17.64,Up,,,,,,,,,440
11/10/2025,6832,6825,7,,,,1660,3210,,4%,"$	232,950",,1550,2150,,2.67,18.18,Down,,,,,,,,,
11/07/2025,6729,6755,26,,6645,-1200,,-1200,,0%,"$	229,740",,,,,-2.49,20.85,Up,,,,,,,,,-1030
11/06/2025,6720,6820,100,,6755,-1140,,-1140,,36%,"$	230,940",,,,,0.7,18.36,Up,,,,,,,,,910
11/05/2025,6796,6800,4,,6830,-1030,,-1030,,29%,"$	232,080",,,,,-0.08,19.06,Up,,,,,,,,,-1290
11/04/2025,6772,6810,38,,6805,-1100,,-1100,,31%,"$	233,110",,,,,-1.56,18.98,Up,Gap,,,,,,,,970
11/03/2025,6852,6900,48,,,,,20,NM,97%,"$	234,210",,20,3200,140,-1.17,17.42,Down,,,,,,,,,
10/31/2025,6840,6905,65,,,,,550,EOM,80%,"$	234,190",,550,3200,,0.54,16.25,Down,,,,,,,,,
10/30/2025,6822,6900,78,,,,,560,"AAPL, AMZN, EOM-1",1%,"$	233,640",,560,600,2050,-0.26,16.79,Down,,,,,,,,,
10/29/2025,6891,6960,69,,,,,0,"MSFT,META,FED,GOOG, EOM-2",7%,"$	233,080",,,,,-0.8,16.53,Up,,,,,,,,,970
10/28/2025,6891,6900,9,,,,,-1160,,96%,"$	233,080",,-1160,650,70,-0.08,15.73,Down,,,,,,,,,
10/27/2025,6875,6880,5,,6880,,1200,3410,,67%,"$	234,240",2210,,,,0.89,15.65,Down,,,,,,,,,
10/24/2025,6792,6820,28,,,,,-1010,CPI,37%,"$	230,830",,-1010,500,,2.29,16.54,Down,,,,,,,,,
10/23/2025,6738,6750,12,,6705,-980,1740,760,,44%,"$	231,840",,,,,0.14,18.83,Up,,,,,,,,,690
10/22/2025,6699,6750,51,,6695,1400,,1400,VIX EXP,72%,"$	231,080",,,,,-0.38,18.97,Up,,,,,,,,,
10/21/2025,6735,6760,25,,6745,390,,390,,68%,"$	229,680",,,,,1.37,18.59,Up,,,,,,,,,1270
10/20/2025,6735,6740,5,,6705,,450,2190,OPEX+1,53%,"$	229,290",1740,,,,4.55,19.96,Down,,,,,,,,,
10/17/2025,6664,6650,14,,6650,,,1910,OPEX,62%,"$	227,100",1910,,,,-4.23,24.51,Down,,,,,,,,,
10/16/2025,6629,6735,106,,,,,2900,OPEX-1,27%,"$	225,190",,2900,6100,,-0.84,20.28,Down,,,,,,,,,
10/15/2025,6671,6730,59,,6705,,-860*0,-1350,,41%,"$	222,290",-1350,,,,2.26,19.44,Down,,,,,,,,,
10/14/2025,6644,6660,16,,6605,-1200,,-1200,,14%,"$	223,640",,,,,-1.61,21.7,Up,Gap,,,,,,,,340
10/13/2025,6655,6685,30,,,,,0,,100%,"$	224,840",,,,,-3.56,20.09,Down,Gap,,,,,,,,
10/10/2025,6553,6765,212,,6755,-1220,,-1220,,0%,"$	224,840",,,,,-0.16,16.53,Up,Trump tariff,,,,,,,,-1370
10/09/2025,6735,6775,40,,6715,130,,130,,45%,"$	226,060",,,,,0.69,16.37,Up,,,,,,,,,-150
10/08/2025,6754,6750,4,,6740,130,720,850,,91%,"$	225,930",,610*0,,,-0.77,17.06,Down,,,,,,,,,
10/07/2025,6715,6785,70,,,,,1060,,71%,"$	225,080",,1060,2500,60,0.46,16.29,Down,,,,,,,,,
10/06/2025,6740,6765,25,,6745,930,,930,,81%,"$	224,020",,,,,-0.32,16.75,Up,Thursday 10:30,,,,,,,,
10/03/2025,6716,6750,34,10:45,6745,-1180,,-1180,,54%,"$	223,090",,-2110*0,700,,-0.39,16.43,Down,Friday 10:45,,,,,,,,
10/02/2025,6715,6740,25,,,,,-460,,99%,"$	224,270",,-460,1800,90,0.61,16.04,Down,,,,,,,,,
10/01/2025,6711,6690,21,,6695,,1240,3150,NM,61%,"$	224,730",,1910,,,-0.26,16.65,Up,,,,,,,,,-650
09/30/2025,6688,6680,8,,,,,860,EOM,9%,"$	221,580",,860,1150,,-0.42,16.39,Up,,,,,,,,,
09/29/2025,6661,6700,39,,6670,740,,740,EOM-1,80%,"$	220,720",,,,,0.67,15.97,Up,,,,,,,,,
09/26/2025,6644,6645,1,,,,,-160,EOM-2,63%,"$	219,980",,-160,1000,,0.62,16.64,Down,,,,,,,,,
09/25/2025,6605,6635,30,,6555,-1290,,-1290,,83%,"$	220,140",,,,,-0.87,17.26,Up,,,,,,,,,1400
09/24/2025,6638,6685,47,,6645,400,,400,,71%,"$	221,430",,1300*0,,,-0.39,16.39,Down,,,,,,,,,
09/23/2025,6657,6700,43,,,,,1400,,35%,"$	221,030",,1400,2300,,0.02,16,Down,,,,,,,,,
09/22/2025,6694,6665,29,,6655,,2100,830,OPEX+1,58%,"$	219,630",-1270,,,,-0.57,16.02,Up,,,,,,,,,
09/19/2025,6664,6665,1,,6645,-630,,-630,OPEX,28%,"$	218,800",,-720*0,,,-0.14,15.45,Down,,,,,,,,,
09/18/2025,6632,6665,33,14:00,6645,-270,,-270,OPEX-1,56%,"$	219,430",,-2170*0,840,,0.67,15.31,Down,,,,,,,,,
09/17/2025,6600,6620,20,,,,,0,"FED, VIX EXP",100%,"$	219,700",,,,,-0.31,15.98,Down,,,,,,,,,
