Date,Daily close,Max pos gamma @9:35,,M8 time,Pin strike,M8BF,BOBF,Sigma3,Important days,BF win rate ,,GXBF,Straddle,Max profit straddle,Closing call side str,,Vix open,VIX diff,"$	54,140","$	100,370","$	54,880","$	43,610","$	253,000",,,,1pm BF
03/05/2025,5843,,5843,,5700,-900,,-900,,85%,"$	126,000",,,,,-0.07,23.03,Up,,,,,,,,,550
03/04/2025,5778,,5778,,5780,,,0,,92%,"$	126,900",,0,,,-3.13,22.96,Up,,,,,,,,,2090
03/03/2025,5850,,5850,,5895,,,8860,NM,0%,"$	126,900",,8860,12500,,1.38,19.83,Down,Trump tariff,,,,,,,,
02/28/2025,5955,,5955,,5855,,,6450,EOM,0%,"$	118,040",,6450,6700,,-2.96,21.21,Up,,,,,,,,,
02/27/2025,5862,,5862,,5955,,,-1200,EOM-1,0%,"$	111,590",-1200,8670*0,,,0.71,18.25,Down,Trump tariff,,,,,,,,
02/26/2025,5956,6000,44,,5955,,,0,"NVDA, EOM-2",36%,"$	112,790",,-1810*0,,,0.13,18.96,Down,Trump tariff,,,,,,,,
02/25/2025,5955,,5955,,5955,2500,,2500,,80%,"$	112,790",,,,,-1.01,19.09,Up,,,,,,,,,1250
02/24/2025,5983,6060,77,,6015,,,-1200,OPEX+1,20%,"$	110,290",-1200,990*0,1000,,-2.45,18.08,Down,,,,,,,,,
02/21/2025,6013,,6013,,6025,,,0,OPEX,35%,"$	111,490",,7700*0,8000,,-0.02,15.63,Down,,,,,,,,,
02/20/2025,6118,,6118,,6100,300,,300,OPEX-1,24%,"$	111,490",,,,,-0.47,15.61,Up,,,,,,,,,
02/19/2025,6144,,6144,,6145,1200,,1200,VIX EXP,35%,"$	111,190",,,,,0.43,15.14,Up,,,,,,,,,
02/18/2025,6130,,6130,,6105,,,0,,8%,"$	109,990",,-1450*0,,,-0.49,15.57,Up,,,,,,,,,
02/14/2025,6115,,6115,,6125,,,-2530,,92%,"$	109,990",,-2530,1,,0.89,15.08,Down,,,,,,,,,
02/13/2025,6115,,6115,,6100,,950,3540,,25%,"$	112,520",,2590,2700,,-0.06,15.97,Down,,,,,,,,,
02/12/2025,6052,,6052,,6055,,,0,CPI,76%,"$	108,980",,,,,0.22,15.91,Up,,,,,,,,,
02/11/2025,6068,,6068,,6070,1100,200,1300,,84%,"$	108,980",,,,,0.45,16.13,Up,,,,,,,,,-120
02/10/2025,6066,,6066,,6075,,-470,-1300,,93%,"$	107,680",,-830,1,,-0.75,16.58,Down,,,,,,,,,
02/07/2025,6026,,6026,,6045,,,3020,,48%,"$	108,980",,3020,3020,,0.05,15.83,Down,,,,,,,,,
02/06/2025,6084,,6084,,6085,,,0,AMZN,80%,"$	105,960",,-1050*0,,,1.66,15.88,Down,,,,,,,,,
02/05/2025,6061,6050,11,,6060,1100,1830,2930,,65%,"$	105,960",,1100*0,,,1.24,17.54,Down,,,,,,,,,
02/04/2025,6038,,6038,,6035,,,2460,GOOGL,99%,"$	103,030",2460,610*0,,,1.58,18.78,Down,,,,,,,,"$	(2,090)",
02/03/2025,5995,,5995,,5995,2300,,2300,NM,61%,"$	100,570",,,,,-4.91,20.36,Up,,,Straddle, GXBF,M8 BF,BOBF,Total,,
01/31/2025,6041,,6041,,6095,,,2540,EOM,12%,"$	98,270",,2540,3200,,0.48,15.45,Down,,2026 April,,,,,$	0,,
01/30/2025,6071,,6071,,6055,,,2050,"AAPL, EOM-1",71%,"$	95,730",2050,-1090*0,,,0.49,15.93,Down,,2026 March,"$	(1,300)",$	(540),$	480,"$	(2,850)","$	(4,210)",,
01/29/2025,,,0,,,,,0,"FED, MSFT, META, EOM-2",79%,"$	93,680",,,,,1.87,16.42,Up,,2026 February,"$	8,480","$	(1,460)",$	(490),"$	2,150","$	8,680",,2220
01/28/2025,6068,,6068,,6055,,,1100,,72%,"$	93,680",,1100,1700,,0.54,18.29,Down,,2026 January,"$	(4,460)",$	50,"$	(1,500)",$	(650),"$	(6,560)",,
01/27/2025,6012,,6012,,5995,-500,,-500,,40%,"$	92,580",,,,,-3.81,18.83,Up,,2025 December,$	(230),"$	2,830","$	5,490","$	5,980","$	14,070",,
01/24/2025,6101,,6101,,6085,,,-150,,35%,"$	93,080",,-150,1050,,0.26,15.02,Down,,2025 November,"$	1,570","$	4,560","$	(3,280)","$	3,980","$	6,830",,
01/23/2025,6119,,6119,,6115,,1780,4030,,68%,"$	93,230",,2250,2250,,-0.39,15.28,Down,,2025 October,"$	4,350","$	4,510","$	(1,600)","$	5,350","$	12,610",,
01/22/2025,6086,,6086,,6095,300,,300,VIX EXP,80%,"$	89,200",,,,,1.4,14.89,Up,,2025 September,"$	9,140","$	(1,270)","$	1,370","$	3,930","$	13,170",,
01/21/2025,6049,6050,1,11:20,6005,,1810,3910,OPEX+1,60%,"$	88,900",2100,240*0,280,,-0.1,16.29,Down,,2025 August,"$	7,200","$	2,310",$	(170),"$	3,030","$	12,370",,
01/17/2025,5997,,5997,,6005,400,,400,OPEX,92%,"$	84,990",,-2290*0,,,-0.1,16.19,Down,Gap,2025 July,"$	4,530","$	3,410","$	1,780",$	130,"$	9,850",,
01/16/2025,5937,,5937,,5945,600,,600,OPEX-1,53%,"$	84,590",,-430*0,,,0.84,16.09,Down,,2025 June,$	500,"$	3,850","$	6,430","$	7,180","$	17,960",,
01/15/2025,5950,5970,20,,5905,,-400*0,0,CPI,88%,"$	83,990",,1300*0,,,1.82,16.93,Down,,2025 May,"$	(3,220)","$	3,950","$	6,430","$	4,120","$	11,280",,
01/14/2025,5843,,5843,,5835,1500,,1500,,59%,"$	83,990",,-1470*0,,,2.6,18.75,Down,,2025 April,"$	3,510",$	0,"$	10,010",$	710,"$	14,230",,
01/13/2025,5836,,5836,,5830,600,,600,,19%,"$	82,490",,,,,-2.4,21.35,Up,,2025 March,"$	13,560","$	6,010","$	2,800","$	2,310","$	24,680",,
01/10/2025,5827,5900,73,,5855,,,0,,27%,"$	81,890",,,,,-0.1,18.95,Up,,2025 February,"$	8,700",$	60,"$	8,500","$	2,510","$	19,770",,1000
01/08/2025,5918,,5918,,5950,-400,,-400,,4%,"$	81,890",,,,,-3.05,18.85,Up,,2025 January,"$	13,960","$	4,150","$	3,200","$	3,860","$	25,170",,-460
01/07/2025,5909,,5909,,5940,,,5700,,7%,"$	82,290",,5700,7400,,0.44,15.8,Down,,2024 December,"$	16,770","$	2,310",$	310,"$	3,040","$	22,430",,
01/06/2025,5975,,5975,,5970,700,,700,,31%,"$	76,590",,,,,1.13,16.24,Up,,2024 November,"$	1,490","$	6,210","$	2,120","$	5,500","$	15,320",,
01/03/2025,5942,,5942,,5945,,270,2310,,68%,"$	75,890",,2040,2650,,-0.1,17.37,Down,,2024 October,"$	4,600","$	2,230","$	6,700","$	2,550","$	16,080",,
01/02/2025,5869,5955,86,,5840,,,480,NM,7%,"$	73,580",,480,4300,,-0.33,17.27,Down,,2024 September,"$	11,220",$	440,"$	5,560","$	2,050","$	19,270",,
12/31/2024,5882,,5882,,5905,,,350,EOM,72%,"$	73,100",,350,2500,,1.39,16.94,Down,Gap,Total,"$	93,190","$	45,610","$	54,150","$	55,580","$	248,530",,
12/30/2024,5907,,5907,,5930,-800,,-800,EOM-1,40%,"$	72,750",,,,,-2.38,18.33,Up,,,,,,,,,
12/27/2024,5971,,5971,,5955,-100,,-100,EOM-2,64%,"$	73,550",,,,,-0.81,15.95,Up,,,,,,,,,
12/26/2024,6038,6050,12,,6045,,-180,-1150,,72%,"$	73,650",,-970,50,,1.78,15.14,Up,,,,,,,,,
12/24/2024,6040,,6040,,,,1700,1700,,0%,"$	74,800",,,,,1.48,16.92,Up,Short day,,,,,,,,
12/23/2024,5974,5980,6,,5970,,1530,3840,OPEX+1,39%,"$	73,100",2310,330*0,,,4.95,18.4,Up,,,,,,,,,
12/20/2024,5931,,5931,,5905,,,0,OPEX,8%,"$	69,260",,,,,-2.46,23.35,Down,,,,,,,,,
12/19/2024,5867,,5867,,5915,,,1600,OPEX-1,0%,"$	69,260",,1600,1700,,-5.2,20.89,Down,,,,,,,,,
12/18/2024,5872,,5872,,,,,14600,"VIX EXP, FED",0%,"$	67,660",,14600,14600,,-0.47,15.69,Down,,,,,,,,,
12/17/2024,6051,,6051,,6045,600,,600,,87%,"$	53,060",,,,,-1.02,15.22,Up,,,,,,,,,
12/16/2024,6074,,6074,,6075,600,-550,50,,56%,"$	52,460",,,,,-0.77,14.2,Up,,,,,,,,,
12/13/2024,6051,,6051,,6045,,,230,,36%,"$	52,410",,230,780,,0.21,13.43,Down,,,,,,,,,
12/12/2024,6051,,6051,,6065,-600,,-600,,37%,"$	52,180",,,,,-0.01,13.64,Up,,,,,,,,,
12/11/2024,6084,,6084,,6095,,540,1640,CPI,67%,"$	52,780",,1100,,,0.54,13.63,Down,,,,,,,,,
12/10/2024,6035,,6035,,6050,,,880,,17%,"$	51,140",,880,1240,,-0.74,14.17,Down,,,,,,,,,
12/09/2024,6053,,6053,,6060,-100,,-100,,31%,"$	50,260",,,,,-0.38,13.43,Up,,,,,,,,,
12/06/2024,6090,,6090,,6095,,,-1020,,77%,"$	50,360",,-1020,1,,0.43,13.05,Down,,,,,,,,,
12/05/2024,6075,,6075,,6085,-200,,-200,,31%,"$	51,380",,,,,-0.52,13.48,Up,,,,,,,,,
12/04/2024,6086,6080,6,,6075,110,,110,,41%,"$	51,580",,-180*0,,,0.53,12.96,Down,,,,,,,,,
12/03/2024,6050,,6050,,6045,500,,500,,97%,"$	51,470",,,,,0.37,13.49,Up,,,,,,,,,
12/02/2024,6047,,6047,,6045,300,,300,NM,88%,"$	50,970",,,,,0.23,13.86,Up,,,,,,,,,
11/29/2024,6032,6020,12,,,,,0,EOM,33%,"$	50,670",,1060*0,2200,,0.05,14.09,Down,Short day,,,,,,,,
11/27/2024,5999,,5999,,5995,800,,800,EOM-1,100%,"$	50,670",,,,,0.3,14.14,Up,,,,,,,,,
11/26/2024,6022,,6022,,6005,,,-150,EOM-2,7%,"$	49,870",,-150,200,,0.42,14.44,Down,,,,,After holiday,,,,
11/25/2024,5987,,5987,,5980,-100,,-100,,77%,"$	50,020",,-2140*0,,,1.81,14.86,Down,,,,,Last day month,,,,
11/22/2024,5969,,5969,,5955,,1770,1070,,70%,"$	50,120",,-700,0,,-0.78,16.67,Down,,,,,Non fed/cpi Wed,,,,
11/21/2024,5949,,5949,,5955,,,2600,,75%,"$	49,050",2600,-2240*0,,,0.64,15.89,Down,,,,,Quarterly OPEX stra,,,,
11/20/2024,5917,,5917,,5905,,,0,"VIX EXP, NVDA",27%,"$	46,450",,,,,0.47,16.53,Up,,,,,1st trading day mont,,,,
11/19/2024,5917,,5917,,5895,-800,,-800,,33%,"$	46,450",,,,,-0.34,17,Up,,,,,,,,,-200
11/18/2024,5894,5885,9,,5895,,,1050,OPEX+1,84%,"$	47,250",1050,,,,-1.97,16.66,Up,,,,,,,,,
11/15/2024,5871,,5871,,5855,-400,,-400,OPEX ,71%,"$	46,200",,,,,-0.68,14.69,Up,,,,,,,,,
11/14/2024,5949,,5949,,5955,,,1940,OPEX-1,44%,"$	46,600",,1940,2400,,0.71,14.01,Down,,,,,,,,,
11/13/2024,5985,,5985,,5995,,-800,-800,CPI,45%,"$	44,660",,,,,0.44,14.72,Up,,,,,,,,,
11/12/2024,5984,,5984,,5995,100,,100,,57%,"$	45,460",,,,,0.15,15.16,Up,,,,,,,,,
11/11/2024,6001,,6001,,5995,100,,100,,95%,"$	45,360",,,,,-0.52,15.31,Up,,,,,,,,,
11/08/2024,5996,,5996,13:55,6005,-80,,-80,,74%,"$	45,260",,-160*0,1500,,0.85,14.79,Down,,,,,,,,,
11/07/2024,5973,,5973,,5975,1300,880,2180,,99%,"$	45,340",,-1690*0,,,0.2,15.64,Down,Gap,,,,,,,,
11/06/2024,5929,,5929,,,,1900,3340,FED,35%,"$	43,160",1440,10*0,,,5.6,15.84,Down,,,,,,,,,
11/05/2024,5783,,5783,,5755,,1750,4890,,55%,"$	39,820",,3140,3140,,1.13,21.44,Down,,,,,,,,,
11/04/2024,5713,,5713,,5705,1200,,1200,,52%,"$	34,930",,,,,-0.6,22.57,Up,,,,,,,,,
11/01/2024,5729,,5729,,5745,,,-1620,NM,36%,"$	33,730",1120,-2740,,,-0.27,21.97,Down,,,,,,,,,
10/31/2024,5705,,5705,,5705,,,3750,"AAPL, AMZN, EOM",59%,"$	35,350",,3750,3800,,-1.88,21.7,Up,,,,,,,,,
10/30/2024,5814,,5814,,5845,,,0,"MSFT, META, EOM-1",3%,"$	31,600",,,,,0.51,19.82,Up,,,,,,,,,
10/29/2024,5834,,5834,,5845,200,,200,"GOOGL, EOM-2",49%,"$	31,600",,,,,-1.12,20.33,Up,,,,,,,,,210
10/28/2024,5824,,5824,,5830,,,-1200,,26%,"$	31,400",-1200,-1170*0,,,-0.74,19.21,Down,,,,,,,,,
10/25/2024,5808,,5808,,5805,,,-1080,,28%,"$	32,600",,-1080,920,,0.64,18.47,Down,,,,,,,,,
10/24/2024,5810,,5810,,5805,,,-1560,,87%,"$	33,680",,-1560,700,,-0.51,19.11,Down,,,,,,,,,
10/23/2024,5797,,5797,,5805,1000,,1000,,64%,"$	35,240",,,,,0.77,18.6,Up,,,,,,,,,1110
10/22/2024,5851,,5851,,5845,600,,600,,100%,"$	34,240",,,,,-0.59,19.37,Up,,,,,,,,,320
10/21/2024,5854,5870,16,,5845,,,-50,OPEX+1,69%,"$	33,640",-50,,,,0.42,18.78,Up,,,,,,,,,
10/18/2024,5865,,5865,,5855,200,,200,OPEX,91%,"$	33,690",,,,,0.09,19.20,Up,,,,,,,,,1020
10/17/2024,5841,,5841,,5865,-1100,,-1100,OPEX-1,52%,"$	33,490",,1250*0,,,1.53,19.29,Down,,,,,,,,,
10/16/2024,5842,,5842,,5840,1600,,1600,VIX EXP,89%,"$	34,590",,,,,-1.3,20.82,Up,,,,,,,,,
10/15/2024,5815,,5815,,5830,300,,300,,45%,"$	32,990",,,,,1.01,19.52,Down,Gap,,,,,,,,
10/14/2024,5860,,5860,,5865,200,80,280,,77%,"$	32,690",,,,,0.2,20.53,Up,,,,,,,,,
10/11/2024,5815,,5815,,5805,,,1330,,95%,"$	32,410",,1330,1730,,0.34,20.73,Down,,,,,,,,,
10/10/2024,5780,,5780,,5740,,-910,-910,CPI,5%,"$	31,080",,,,,0.54,21.07,Up,,,,,,,,,1380
10/09/2024,5792,,5792,,5795,1300,1850,3150,,79%,"$	31,990",,,,,0.25,21.61,Up,,,,,,,,,210
10/08/2024,5751,,5751,,5745,,1530,3710,,73%,"$	28,840",2180,360*0,,,-0.93,21.86,Down,,,,,,,,,
10/07/2024,5696,,5696,,5705,300,,300,,53%,"$	25,130",,,,,-1.57,20.93,Up,,,,,,,,,
10/04/2024,5751,,5751,,5745,,,1300,,65%,"$	24,830",1300,-1580*0,,,0.55,19.36,Down,,,,,,,,,
10/03/2024,5700,,5700,,5695,800,,800,,96%,"$	23,530",,,,,-0.15,19.91,Up,,,,,,,,,280
10/02/2024,5710,,5710,,5705,1300,,1300,,100%,"$	22,730",,,,,-2.76,19.76,Up,,,,,,,,,680
10/01/2024,5709,,5709,,5705,,,2160,NM,41%,"$	21,430",,2160,,,0.10,17.00,Up,,,,,,,,,1480
09/30/2024,5762,,5762,,5705,,1710,2680,EOM,36%,"$	19,270",,970,1050,,-1.76,17.10,Up,,,,,,,,,
09/27/2024,5738,,5738,,5745,,,-440,EOM-1,57%,"$	16,590",,-440,500,,-0.12,15.34,Down,,,,,,,,,
09/26/2024,5745,,5745,,5740,,,-670,EOM-2,51%,"$	17,030",,-670,1600,,0.26,15.22,Down,,,,,,,,,
09/25/2024,5722,,5722,,5725,900,,900,,56%,"$	17,700",,,,,0.42,15.48,Up,,,,,,,,,
09/24/2024,5733,,5733,,5705,-900,,-900,,28%,"$	16,800",,,,,0.54,15.90,Up,,,,,,,,,
09/23/2024,5719,5730,11,,5715,,,1040,OPEX+1,87%,"$	17,700",1040,,,,-0.32,16.44,Up,,,,,,,,,
09/20/2024,5703,,5703,,5695,1060,,1060,OPEX,97%,"$	16,660",,-2430*0,,,0.19,16.12,Down,,,,,,,,,
09/19/2024,5714,,5714,,5705,1800,,1800,OPEX-1,100%,"$	15,600",,-2430*0,,,1.95,16.31,Down,Gap,,,,,,,,
09/18/2024,5618,,5618,,,,,0,"VIX EXP, FED",92%,"$	13,800",,,,,-1.04,18.26,Up,,,,,,,,,
09/17/2024,5635,,5635,,5655,-300,-980,-1280,,49%,"$	13,800",,,,,-0.04,17.22,Up,,,,,,,,,780
09/16/2024,5633,,5633,,5630,500,,500,,53%,"$	15,080",,,,,-0.04,17.18,Up,,,,,,,,,
09/13/2024,5626,,5626,,5645,-600,1060,460,,9%,"$	14,580",,,,,0.76,17.14,Up,,,,,,,,,1010
09/12/2024,5596,,5596,,5605,400,260,660,,67%,"$	14,120",,,,,0.37,17.90,Up,,,,,,,,,60
09/11/2024,5554,,5554,,5445,,,4510,CPI,19%,"$	13,460",,4510,,,0.85,18.27,Down,,,,,,,,,
09/10/2024,5496,,5496,,5780,-200,,-200,,76%,"$	8,950",,-2500*0,,,1.76,19.12,Down,,,,,,,,,
09/09/2024,5471,,5471,,5455,,,600,,16%,"$	9,150",600,-80*0,,,-1.86,20.88,Down,,,,,,,,,
09/06/2024,5408,,5408,,5405,1500,,1500,,69%,"$	8,550",,-2500*0,,,1.68,19.02,Down,Gap,,,,,,,,
09/05/2024,5503,,5503,,5505,,,-1200,,100%,"$	7,050",-1200,-1510*0,,,1.85,20.70,Down,,,,,,,,,
09/04/2024,5520,5540,20,,5525,1400,,1400,,52%,"$	8,250",,,,,-6,22.55,Up,,,,,,,,,670
09/03/2024,5529,,5529,,5595,,,6850,NM,47%,"$	6,850",,6850,,,-0.88,16.55,Up,,,,,,,,,-930
,,,0,,,,,0,,22%,,,,,,,15.67,,,,,,,,,,